identity,type,subsystem,value,override,override_value
PrimaryPLC.System.CANBusSystem/cBMSA/FaultCode,ValObjUSINT,Machine,0,0,0
PrimaryPLC.System.CANBusSystem/cBMSA/SOH,ValObjPercentage,Machine,0.996,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSA/MaxTemp,ValObjReal,Machine,30.0,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSA/MinTemp,ValObjReal,Machine,28.0,0,0.0
PrimaryPLC.System.BMSAB/AvailFactor,ValRefPersReal,Machine,0.5,,
PrimaryPLC.System.BMSAB/Availability,ValRefPercentage,Machine,1.0,,
PrimaryPLC.System.BMSAB/Current,ValRefReal,Machine,1.0,,
PrimaryPLC.System.BMSAB/CurrentMismatch,ValRefPersReal,Machine,10.0,,
PrimaryPLC.System.BMSAB/CycleOutput,ValRefBool,Machine,0,,
PrimaryPLC.System.BMSAB/DsblConnect,ValRefBool,Machine,0,,
PrimaryPLC.System.BMSAB/DsblVoltMisMgmt,ValRefPersBool,Machine,0,,
PrimaryPLC.System.BMSAB/EnblBMS,ValRefPersUINT,Machine,3,,
PrimaryPLC.System.BMSAB/EnblRestart,ValRefBool,Machine,1,,
PrimaryPLC.System.BMSAB/EnblSOCRecovery,ValRefBool,Machine,0,,
PrimaryPLC.System.BMSAB/Output,ValObjBool,Machine,1,0,0
PrimaryPLC.System.BMSAB/RestartCount,ValRefUSINT,Machine,0,,
PrimaryPLC.System.BMSAB/SOC,ValRefPercentage,Machine,1.0,,
PrimaryPLC.System.BMSAB/SOCMismatch,ValRefPersReal,Machine,0.05,,
PrimaryPLC.System.BMSAB/SOCRecCurrMin,ValRefReal,Machine,-1.0,,
PrimaryPLC.System.BMSAB/SOCRecTimRst,ValRefBool,Machine,0,,
PrimaryPLC.System.BMSAB/Voltage,ValRefReal,Machine,1.0,,
PrimaryPLC.System.BMSAB/VoltageMismatch,ValRefPersReal,Machine,0.5,,
PrimaryPLC.System.CANBusSystem/cBMSA/Current,ValObjReal,Machine,6.200012,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSA/SOC,ValObjPercentage,Machine,0.848,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSA/Voltage,ValObjReal,Machine,129.4,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSB/Current,ValObjReal,Machine,6.5,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSB/SOC,ValObjPercentage,Machine,0.836,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSB/SOH,ValObjPercentage,Machine,1.0,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSB/MaxTemp,ValObjReal,Machine,30.0,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSB/Voltage,ValObjReal,Machine,129.4,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSA/TtlDschrgEnergy,ValObjReal,Machine,0.0,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSA/TtlChrgEnergy,ValObjReal,Machine,0.0,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSA/FaultCode,ValObjUSINT,Machine,0,0,0
PrimaryPLC.System.CANBusSystem/cBMSA/SOH,ValObjPercentage,Machine,0.996,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSA/MaxTemp,ValObjReal,Machine,30.0,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSA/MinTemp,ValObjReal,Machine,28.0,0,0.0
PrimaryPLC.System.BMSAB/AvailFactor,ValRefPersReal,Machine,0.5,,
PrimaryPLC.System.BMSAB/Availability,ValRefPercentage,Machine,1.0,,
PrimaryPLC.System.BMSAB/Current,ValRefReal,Machine,1.0,,
PrimaryPLC.System.BMSAB/CurrentMismatch,ValRefPersReal,Machine,10.0,,
PrimaryPLC.System.BMSAB/CycleOutput,ValRefBool,Machine,0,,
PrimaryPLC.System.BMSAB/DsblConnect,ValRefBool,Machine,0,,
PrimaryPLC.System.BMSAB/DsblVoltMisMgmt,ValRefPersBool,Machine,0,,
PrimaryPLC.System.BMSAB/EnblBMS,ValRefPersUINT,Machine,3,,
PrimaryPLC.System.BMSAB/EnblRestart,ValRefBool,Machine,1,,
PrimaryPLC.System.BMSAB/EnblSOCRecovery,ValRefBool,Machine,0,,
PrimaryPLC.System.BMSAB/Output,ValObjBool,Machine,1,0,0
PrimaryPLC.System.BMSAB/RestartCount,ValRefUSINT,Machine,0,,
PrimaryPLC.System.BMSAB/SOC,ValRefPercentage,Machine,1.0,,
PrimaryPLC.System.BMSAB/SOCMismatch,ValRefPersReal,Machine,0.05,,
PrimaryPLC.System.BMSAB/SOCRecCurrMin,ValRefReal,Machine,-1.0,,
PrimaryPLC.System.BMSAB/SOCRecTimRst,ValRefBool,Machine,0,,
PrimaryPLC.System.BMSAB/Voltage,ValRefReal,Machine,1.0,,
PrimaryPLC.System.BMSAB/VoltageMismatch,ValRefPersReal,Machine,0.5,,
PrimaryPLC.System.CANBusSystem/cBMSA/Current,ValObjReal,Machine,6.200012,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSA/SOC,ValObjPercentage,Machine,0.848,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSA/Voltage,ValObjReal,Machine,129.4,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSB/Current,ValObjReal,Machine,6.5,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSB/SOC,ValObjPercentage,Machine,0.836,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSB/SOH,ValObjPercentage,Machine,1.0,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSB/MaxTemp,ValObjReal,Machine,30.0,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSB/Voltage,ValObjReal,Machine,129.4,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSA/TtlDschrgEnergy,ValObjReal,Machine,0.0,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSA/TtlChrgEnergy,ValObjReal,Machine,0.0,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSA/FaultCode,ValObjUSINT,Machine,0,0,0
PrimaryPLC.System.CANBusSystem/cBMSA/SOH,ValObjPercentage,Machine,0.996,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSA/MaxTemp,ValObjReal,Machine,30.0,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSA/MinTemp,ValObjReal,Machine,28.0,0,0.0
PrimaryPLC.System.BMSAB/AvailFactor,ValRefPersReal,Machine,0.5,,
PrimaryPLC.System.BMSAB/Availability,ValRefPercentage,Machine,1.0,,
PrimaryPLC.System.BMSAB/Current,ValRefReal,Machine,1.0,,
PrimaryPLC.System.BMSAB/CurrentMismatch,ValRefPersReal,Machine,10.0,,
PrimaryPLC.System.BMSAB/CycleOutput,ValRefBool,Machine,0,,
PrimaryPLC.System.BMSAB/DsblConnect,ValRefBool,Machine,0,,
PrimaryPLC.System.BMSAB/DsblVoltMisMgmt,ValRefPersBool,Machine,0,,
PrimaryPLC.System.BMSAB/EnblBMS,ValRefPersUINT,Machine,3,,
PrimaryPLC.System.BMSAB/EnblRestart,ValRefBool,Machine,1,,
PrimaryPLC.System.BMSAB/EnblSOCRecovery,ValRefBool,Machine,0,,
PrimaryPLC.System.BMSAB/Output,ValObjBool,Machine,1,0,0
PrimaryPLC.System.BMSAB/RestartCount,ValRefUSINT,Machine,0,,
PrimaryPLC.System.BMSAB/SOC,ValRefPercentage,Machine,1.0,,
PrimaryPLC.System.BMSAB/SOCMismatch,ValRefPersReal,Machine,0.05,,
PrimaryPLC.System.BMSAB/SOCRecCurrMin,ValRefReal,Machine,-1.0,,
PrimaryPLC.System.BMSAB/SOCRecTimRst,ValRefBool,Machine,0,,
PrimaryPLC.System.BMSAB/Voltage,ValRefReal,Machine,1.0,,
PrimaryPLC.System.BMSAB/VoltageMismatch,ValRefPersReal,Machine,0.5,,
PrimaryPLC.System.CANBusSystem/cBMSA/Current,ValObjReal,Machine,6.200012,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSA/SOC,ValObjPercentage,Machine,0.848,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSA/Voltage,ValObjReal,Machine,129.4,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSB/Current,ValObjReal,Machine,6.5,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSB/SOC,ValObjPercentage,Machine,0.836,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSB/SOH,ValObjPercentage,Machine,1.0,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSB/MaxTemp,ValObjReal,Machine,30.0,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSB/Voltage,ValObjReal,Machine,129.4,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSA/TtlDschrgEnergy,ValObjReal,Machine,0.0,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSA/TtlChrgEnergy,ValObjReal,Machine,0.0,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSA/FaultCode,ValObjUSINT,Machine,0,0,0
PrimaryPLC.System.CANBusSystem/cBMSA/SOH,ValObjPercentage,Machine,0.996,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSA/MaxTemp,ValObjReal,Machine,30.0,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSA/MinTemp,ValObjReal,Machine,28.0,0,0.0
PrimaryPLC.System.BMSAB/AvailFactor,ValRefPersReal,Machine,0.5,,
PrimaryPLC.System.BMSAB/Availability,ValRefPercentage,Machine,1.0,,
PrimaryPLC.System.BMSAB/Current,ValRefReal,Machine,1.0,,
PrimaryPLC.System.BMSAB/CurrentMismatch,ValRefPersReal,Machine,10.0,,
PrimaryPLC.System.BMSAB/CycleOutput,ValRefBool,Machine,0,,
PrimaryPLC.System.BMSAB/DsblConnect,ValRefBool,Machine,0,,
PrimaryPLC.System.BMSAB/DsblVoltMisMgmt,ValRefPersBool,Machine,0,,
PrimaryPLC.System.BMSAB/EnblBMS,ValRefPersUINT,Machine,3,,
PrimaryPLC.System.BMSAB/EnblRestart,ValRefBool,Machine,1,,
PrimaryPLC.System.BMSAB/EnblSOCRecovery,ValRefBool,Machine,0,,
PrimaryPLC.System.BMSAB/Output,ValObjBool,Machine,1,0,0
PrimaryPLC.System.BMSAB/RestartCount,ValRefUSINT,Machine,0,,
PrimaryPLC.System.BMSAB/SOC,ValRefPercentage,Machine,1.0,,
PrimaryPLC.System.BMSAB/SOCMismatch,ValRefPersReal,Machine,0.05,,
PrimaryPLC.System.BMSAB/SOCRecCurrMin,ValRefReal,Machine,-1.0,,
PrimaryPLC.System.BMSAB/SOCRecTimRst,ValRefBool,Machine,0,,
PrimaryPLC.System.BMSAB/Voltage,ValRefReal,Machine,1.0,,
PrimaryPLC.System.BMSAB/VoltageMismatch,ValRefPersReal,Machine,0.5,,
PrimaryPLC.System.CANBusSystem/cBMSA/Current,ValObjReal,Machine,6.200012,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSA/SOC,ValObjPercentage,Machine,0.848,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSA/Voltage,ValObjReal,Machine,129.4,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSB/Current,ValObjReal,Machine,6.299988,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSB/SOC,ValObjPercentage,Machine,0.836,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSB/SOH,ValObjPercentage,Machine,1.0,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSB/MaxTemp,ValObjReal,Machine,30.0,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSB/Voltage,ValObjReal,Machine,129.4,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSA/TtlDschrgEnergy,ValObjReal,Machine,0.0,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSA/TtlChrgEnergy,ValObjReal,Machine,0.0,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSA/FaultCode,ValObjUSINT,Machine,0,0,0
PrimaryPLC.System.CANBusSystem/cBMSA/SOH,ValObjPercentage,Machine,0.996,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSA/MaxTemp,ValObjReal,Machine,30.0,0,0.0
PrimaryPLC.System.CANBusSystem/cBMSA/MinTemp,ValObjReal,Machine,28.0,0,0.0
